(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ "/home/sepehr/VS Code/aco-env/bin/python" "/home/sepehr/VS Code/Project/F- GA_LoadSet1_Freq.py"
Generation 183: Weight = 20200794.69
Generation 184: Weight = 20200794.69
Generation 185: Weight = 20200794.69
Generation 186: Weight = 20200794.69
Generation 187: Weight = 20200794.69
Generation 188: Weight = 20200794.69
Generation 189: Weight = 20200794.69
Generation 190: Weight = 20200794.69
Generation 191: Weight = 20200794.69
Generation 192: Weight = 20200794.69
Generation 193: Weight = 20200794.69
Generation 194: Weight = 20200794.69
Generation 195: Weight = 20200794.69
Generation 196: Weight = 20200794.69
Generation 197: Weight = 20200794.69
Generation 198: Weight = 20200794.69
Generation 199: Weight = 20200794.69
Generation 200: Weight = 20200794.69
Run 1 final fitness = 20200794.69

⏱️ Total computation time: 587.44 seconds

✅ Final results saved to '/home/sepehr/VS Code/Project/F-GA_LoadSet1_Freq.xlsx'
(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ 
