(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ "/home/sepehr/VS Code/aco-env/bin/python" "/home/sepehr/VS Code/Project/F- GA_LoadSet2_Freq.py"

===== Run 1 =====
Generation 1: Weight = 20219865.42
Generation 2: Weight = 20216830.41
Generation 3: Weight = 20215610.59
Generation 4: Weight = 20214406.10
Generation 5: Weight = 20213691.77
Generation 6: Weight = 20212860.42
Generation 7: Weight = 20211706.79
Generation 8: Weight = 20210290.91
Generation 9: Weight = 20209351.52
Generation 10: Weight = 20208172.84
Generation 11: Weight = 20207944.81
Generation 12: Weight = 20207053.05
Generation 13: Weight = 20206393.23
Generation 14: Weight = 20205855.51
Generation 15: Weight = 20205341.06
Generation 16: Weight = 20204994.37
Generation 17: Weight = 20204223.32
Generation 18: Weight = 20203899.27
Generation 19: Weight = 20203563.09
Generation 20: Weight = 20202881.81
Generation 21: Weight = 20202642.30
Generation 22: Weight = 20202083.64
Generation 23: Weight = 20201633.92
Generation 24: Weight = 20201529.73
Generation 25: Weight = 20201348.74
Generation 26: Weight = 20201337.95
Generation 27: Weight = 20201014.85
Generation 28: Weight = 20201014.85
Generation 29: Weight = 20200947.49
Generation 30: Weight = 20200907.32
Generation 31: Weight = 20200875.67
Generation 32: Weight = 20200856.51
Generation 33: Weight = 20200842.69
Generation 34: Weight = 20200818.78
Generation 35: Weight = 20200818.77
Generation 36: Weight = 20200818.74
Generation 37: Weight = 20200811.50
Generation 38: Weight = 20200811.48
Generation 39: Weight = 20200781.49
Generation 40: Weight = 20200781.45
Generation 41: Weight = 20200766.97
Generation 42: Weight = 20200766.96
Generation 43: Weight = 20200766.94
Generation 44: Weight = 20200741.38
Generation 45: Weight = 20200741.36
Generation 46: Weight = 20200723.76
Generation 47: Weight = 20200719.01
Generation 48: Weight = 20200719.01
Generation 49: Weight = 20200719.01
Generation 50: Weight = 20200716.22
Generation 51: Weight = 20200716.21
Generation 52: Weight = 20200714.01
Generation 53: Weight = 20200712.19
Generation 54: Weight = 20200712.18
Generation 55: Weight = 20200712.18
Generation 56: Weight = 20200710.34
Generation 57: Weight = 20200710.34
Generation 58: Weight = 20200710.33
Generation 59: Weight = 20200710.32
Generation 60: Weight = 20200710.31
Generation 61: Weight = 20200709.17
Generation 62: Weight = 20200709.17
Generation 63: Weight = 20200709.17
Generation 64: Weight = 20200709.04
Generation 65: Weight = 20200709.04
Generation 66: Weight = 20200709.04
Generation 67: Weight = 20200705.60
Generation 68: Weight = 20200705.59
Generation 69: Weight = 20200702.73
Generation 70: Weight = 20200700.87
Generation 71: Weight = 20200700.84
Generation 72: Weight = 20200700.83
Generation 73: Weight = 20200700.82
Generation 74: Weight = 20200700.52
Generation 75: Weight = 20200700.51
Generation 76: Weight = 20200700.49
Generation 77: Weight = 20200700.49
Generation 78: Weight = 20200700.49
Generation 79: Weight = 20200699.94
Generation 80: Weight = 20200699.94
Generation 81: Weight = 20200699.94
Generation 82: Weight = 20200688.58
Generation 83: Weight = 20200688.57
Generation 84: Weight = 20200688.56
Generation 85: Weight = 20200688.56
Generation 86: Weight = 20200685.10
Generation 87: Weight = 20200685.10
Generation 88: Weight = 20200685.10
Generation 89: Weight = 20200685.10
Generation 90: Weight = 20200685.10
Generation 91: Weight = 20200685.10
Generation 92: Weight = 20200685.10
Generation 93: Weight = 20200685.10
Generation 94: Weight = 20200685.10
Generation 95: Weight = 20200685.10
Generation 96: Weight = 20200685.10
Generation 97: Weight = 20200685.10
Generation 98: Weight = 20200685.10
Generation 99: Weight = 20200685.10
Generation 100: Weight = 20200685.10
Generation 101: Weight = 20200685.10
Generation 102: Weight = 20200685.10
Generation 103: Weight = 20200685.10
Generation 104: Weight = 20200685.10
Generation 105: Weight = 20200685.10
Generation 106: Weight = 20200685.10
Generation 107: Weight = 20200685.10
Generation 108: Weight = 20200682.39
Generation 109: Weight = 20200682.39
Generation 110: Weight = 20200682.38
Generation 111: Weight = 20200682.37
Generation 112: Weight = 20200682.37
Generation 113: Weight = 20200682.36
Generation 114: Weight = 20200682.35
Generation 115: Weight = 20200682.35
Generation 116: Weight = 20200682.34
Generation 117: Weight = 20200680.20
Generation 118: Weight = 20200680.20
Generation 119: Weight = 20200680.20
Generation 120: Weight = 20200680.20
Generation 121: Weight = 20200680.20
Generation 122: Weight = 20200680.20
Generation 123: Weight = 20200680.20
Generation 124: Weight = 20200680.20
Generation 125: Weight = 20200680.20
Generation 126: Weight = 20200679.70
Generation 127: Weight = 20200679.70
Generation 128: Weight = 20200669.86
Generation 129: Weight = 20200669.84
Generation 130: Weight = 20200669.83
Generation 131: Weight = 20200669.82
Generation 132: Weight = 20200667.71
Generation 133: Weight = 20200667.71
Generation 134: Weight = 20200667.71
Generation 135: Weight = 20200667.71
Generation 136: Weight = 20200667.71
Generation 137: Weight = 20200667.71
Generation 138: Weight = 20200667.71
Generation 139: Weight = 20200667.71
Generation 140: Weight = 20200667.71
Generation 141: Weight = 20200667.71
Generation 142: Weight = 20200666.69
Generation 143: Weight = 20200666.67
