(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ "/home/sepehr/VS Code/aco-env/bin/python" "/home/sepehr/VS Code/Project/F- PSO_LoadSet2_Freq.py"
Generation 183: Weight = 20203793.18
Generation 184: Weight = 20203793.18
Generation 185: Weight = 20203793.18
Generation 186: Weight = 20203793.18
Generation 187: Weight = 20203793.18
Generation 188: Weight = 20203793.18
Generation 189: Weight = 20203793.18
Generation 190: Weight = 20203793.18
Generation 191: Weight = 20203793.18
Generation 192: Weight = 20203793.18
Generation 193: Weight = 20203793.18
Generation 194: Weight = 20203793.18
Generation 195: Weight = 20203793.18
Generation 196: Weight = 20203793.18
Generation 197: Weight = 20203793.18
Generation 198: Weight = 20203793.18
Generation 199: Weight = 20203793.18
Generation 200: Weight = 20203793.18
Run 1 final fitness = 20203793.18

⏱️ Total computation time: 582.43 seconds

✅ Final results saved to '/home/sepehr/VS Code/Project/F- PSO_LoadSet2_Freq.xlsx'
(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ 
